seg_id,vertex_seq,lon,lat,traffic_score
0,0,-79.77818569999995,43.70082890000003,0.6626606510997601
0,1,-79.77797639999993,43.70100020000007,0.662971117462737
1,0,-79.78179559999995,43.67212280000007,0.7187868122748056
1,1,-79.77989899999994,43.672100200000045,0.7126935338793517
1,2,-79.77982439999994,43.67210840000006,0.7122742171383697
1,3,-79.77977029999992,43.67216110000004,0.710517970794473
1,4,-79.77971679999996,43.67228730000005,0.7064812769401115
1,5,-79.77963049999993,43.67249350000002,0.6999213229318664
1,6,-79.77946479999997,43.672716800000046,0.6928801669540767
1,7,-79.77937539999992,43.67284190000003,0.6890195853600914
1,8,-79.77935579999996,43.67289120000003,0.6875028496814457
1,9,-79.77936939999995,43.67294090000008,0.6859456274598071
1,10,-79.77944109999997,43.67299570000005,0.6841573106249275
1,11,-79.78002449999997,43.67325400000005,0.6749918655909045
1,12,-79.78013609999994,43.67325520000002,0.674808577897144
1,13,-79.78023659999995,43.67319330000004,0.6768453815491857
1,14,-79.78045059999994,43.67295700000006,0.6850198371333782
1,15,-79.78056099999996,43.67286360000003,0.688354811982599
1,16,-79.78069249999999,43.67284250000006,0.689226257575415
1,17,-79.78128549999997,43.67285330000004,0.6897582398062461
1,18,-79.78185199999994,43.67285940000005,0.6909003390002979
2,0,-79.77876979999996,43.68934870000004,0.621702813624722
2,1,-79.77861309999997,43.690116800000055,0.7079863140806926
3,0,-79.74503989999995,43.70221000000003,0.6150578318598106
3,1,-79.74432089999992,43.702841400000075,0.5800278586332749
4,0,-79.72387319999996,43.717057100000034,0.469380319925846
4,1,-79.72366902438735,43.71724726282002,0.469097435598999
5,0,-79.76027339999996,43.72457070000007,0.43127564166667276
5,1,-79.76088599999997,43.72496450000004,0.42612531160547396
5,2,-79.76105319999992,43.72508780000004,0.42473479539620423
6,0,-79.81866359999998,43.68757100000005,0.48741932587578773
6,1,-79.81887739999996,43.68766330000005,0.4935577908883689
6,2,-79.81937499999998,43.687811600000025,0.5030436929037807
7,0,-79.79025089999999,43.68604020000003,0.45647800062516114
7,1,-79.78973349999995,43.68652100000003,0.44845123345628674
7,2,-79.78967719999997,43.686583400000075,0.44742218595785505
7,3,-79.78964969999997,43.68663910000004,0.4469821894904414
7,4,-79.78966479999998,43.68668810000003,0.4474032403793613
7,5,-79.78971609999996,43.68674620000007,0.44852287834613774
7,6,-79.79001629999993,43.68695610000003,0.4533452941469068
7,7,-79.79008759999994,43.68700590000003,0.4542080130282135
7,8,-79.79016279999995,43.68707800000004,0.45509131813022613
7,9,-79.79021389999996,43.68714780000005,0.45570869692570004
7,10,-79.79067019999997,43.687871200000075,0.4589870048199471
7,11,-79.79073509999995,43.687919700000066,0.5171744307482595
7,12,-79.79080229999994,43.68792620000005,0.5179625633779601
7,13,-79.79088589999998,43.68791350000003,0.5188971204936913
7,14,-79.79171649999995,43.68764510000005,0.5287938671594903
8,0,-79.75913839999997,43.68530080000004,0.6253503524176852
8,1,-79.75993489999996,43.68588450000003,0.6331086375720677
9,0,-79.78532029999997,43.67023110000009,0.8309644611903759
9,1,-79.78602979999992,43.67075640000007,0.805887015992612
10,0,-79.74591079999998,43.64865520000006,0.5181233435225663
10,1,-79.74507089999997,43.649276300000054,0.5299771264827359
11,0,-79.77350989999997,43.66342150000003,0.736898911168184
11,1,-79.77391349999992,43.662954900000045,0.7382382538580187
11,2,-79.77416449999998,43.662690700000034,0.7496146222277218
11,3,-79.77449139999999,43.66238620000007,0.7498297779713047
11,4,-79.77473719999993,43.66217120000004,0.7498917854253188
11,5,-79.77477459999994,43.66215620000003,0.7502130951965839
11,6,-79.77484369999995,43.66215120000004,0.7512438707230336
11,7,-79.77491779999997,43.66215770000007,0.7525897481037416
11,8,-79.77498099999997,43.662185400000055,0.7435158766613564
